,Unnamed: 0,Store,DayOfWeek,Sales,Open,Promo,SchoolHoliday,CompetitionDistance,0 holiday,a holiday,b holiday,c holiday,Year,Month,Day,WeekOfYear,CompetitionOpenTime,Promo2Open,IsPromo2Month,a ass,b ass,c ass,type a,type c,type d
43485,43485,1,1,3846,1,0,0,1270.0,1,0,0,0,2015,6,22,26,81.0,0.0,0,1,0,0,0,1,0
44600,44600,1,7,0,0,0,0,1270.0,1,0,0,0,2015,6,21,25,81.0,0.0,0,1,0,0,0,1,0
45715,45715,1,6,4097,1,0,0,1270.0,1,0,0,0,2015,6,20,25,81.0,0.0,0,1,0,0,0,1,0
46830,46830,1,5,4202,1,1,0,1270.0,1,0,0,0,2015,6,19,25,81.0,0.0,0,1,0,0,0,1,0
47945,47945,1,4,4645,1,1,0,1270.0,1,0,0,0,2015,6,18,25,81.0,0.0,0,1,0,0,0,1,0
49060,49060,1,3,4000,1,1,0,1270.0,1,0,0,0,2015,6,17,25,81.0,0.0,0,1,0,0,0,1,0
50175,50175,1,2,4852,1,1,0,1270.0,1,0,0,0,2015,6,16,25,81.0,0.0,0,1,0,0,0,1,0
51290,51290,1,1,5518,1,1,0,1270.0,1,0,0,0,2015,6,15,25,81.0,0.0,0,1,0,0,0,1,0
52405,52405,1,7,0,0,0,0,1270.0,1,0,0,0,2015,6,14,24,81.0,0.0,0,1,0,0,0,1,0
53520,53520,1,6,4256,1,0,0,1270.0,1,0,0,0,2015,6,13,24,81.0,0.0,0,1,0,0,0,1,0
54635,54635,1,5,3695,1,0,0,1270.0,1,0,0,0,2015,6,12,24,81.0,0.0,0,1,0,0,0,1,0
55750,55750,1,4,3627,1,0,0,1270.0,1,0,0,0,2015,6,11,24,81.0,0.0,0,1,0,0,0,1,0
56865,56865,1,3,3591,1,0,0,1270.0,1,0,0,0,2015,6,10,24,81.0,0.0,0,1,0,0,0,1,0
57980,57980,1,2,4102,1,0,0,1270.0,1,0,0,0,2015,6,9,24,81.0,0.0,0,1,0,0,0,1,0
59095,59095,1,1,4071,1,0,0,1270.0,1,0,0,0,2015,6,8,24,81.0,0.0,0,1,0,0,0,1,0
60210,60210,1,7,0,0,0,0,1270.0,1,0,0,0,2015,6,7,23,81.0,0.0,0,1,0,0,0,1,0
61325,61325,1,6,4183,1,0,0,1270.0,1,0,0,0,2015,6,6,23,81.0,0.0,0,1,0,0,0,1,0
62440,62440,1,5,5384,1,1,0,1270.0,1,0,0,0,2015,6,5,23,81.0,0.0,0,1,0,0,0,1,0
63555,63555,1,4,0,0,1,0,1270.0,0,1,0,0,2015,6,4,23,81.0,0.0,0,1,0,0,0,1,0
64670,64670,1,3,5809,1,1,0,1270.0,1,0,0,0,2015,6,3,23,81.0,0.0,0,1,0,0,0,1,0
65785,65785,1,2,5450,1,1,0,1270.0,1,0,0,0,2015,6,2,23,81.0,0.0,0,1,0,0,0,1,0
66900,66900,1,1,5774,1,1,0,1270.0,1,0,0,0,2015,6,1,23,81.0,0.0,0,1,0,0,0,1,0
68015,68015,1,7,0,0,0,0,1270.0,1,0,0,0,2015,5,31,22,80.0,0.0,0,1,0,0,0,1,0
69130,69130,1,6,5592,1,0,0,1270.0,1,0,0,0,2015,5,30,22,80.0,0.0,0,1,0,0,0,1,0
70245,70245,1,5,4656,1,0,0,1270.0,1,0,0,0,2015,5,29,22,80.0,0.0,0,1,0,0,0,1,0
71360,71360,1,4,4111,1,0,0,1270.0,1,0,0,0,2015,5,28,22,80.0,0.0,0,1,0,0,0,1,0
72475,72475,1,3,4083,1,0,0,1270.0,1,0,0,0,2015,5,27,22,80.0,0.0,0,1,0,0,0,1,0
73590,73590,1,2,4211,1,0,0,1270.0,1,0,0,0,2015,5,26,22,80.0,0.0,0,1,0,0,0,1,0
74705,74705,1,1,0,0,0,0,1270.0,0,1,0,0,2015,5,25,22,80.0,0.0,0,1,0,0,0,1,0
75820,75820,1,7,0,0,0,0,1270.0,1,0,0,0,2015,5,24,21,80.0,0.0,0,1,0,0,0,1,0
76935,76935,1,6,4276,1,0,0,1270.0,1,0,0,0,2015,5,23,21,80.0,0.0,0,1,0,0,0,1,0
78050,78050,1,5,4459,1,1,0,1270.0,1,0,0,0,2015,5,22,21,80.0,0.0,0,1,0,0,0,1,0
79165,79165,1,4,3755,1,1,0,1270.0,1,0,0,0,2015,5,21,21,80.0,0.0,0,1,0,0,0,1,0
80280,80280,1,3,4735,1,1,0,1270.0,1,0,0,0,2015,5,20,21,80.0,0.0,0,1,0,0,0,1,0
81395,81395,1,2,5235,1,1,0,1270.0,1,0,0,0,2015,5,19,21,80.0,0.0,0,1,0,0,0,1,0
82510,82510,1,1,5280,1,1,0,1270.0,1,0,0,0,2015,5,18,21,80.0,0.0,0,1,0,0,0,1,0
83625,83625,1,7,0,0,0,0,1270.0,1,0,0,0,2015,5,17,20,80.0,0.0,0,1,0,0,0,1,0
84740,84740,1,6,4431,1,0,0,1270.0,1,0,0,0,2015,5,16,20,80.0,0.0,0,1,0,0,0,1,0
85855,85855,1,5,4178,1,0,0,1270.0,1,0,0,0,2015,5,15,20,80.0,0.0,0,1,0,0,0,1,0
86970,86970,1,4,0,0,0,0,1270.0,0,1,0,0,2015,5,14,20,80.0,0.0,0,1,0,0,0,1,0
88085,88085,1,3,3998,1,0,0,1270.0,1,0,0,0,2015,5,13,20,80.0,0.0,0,1,0,0,0,1,0
89200,89200,1,2,3547,1,0,0,1270.0,1,0,0,0,2015,5,12,20,80.0,0.0,0,1,0,0,0,1,0
90315,90315,1,1,3551,1,0,0,1270.0,1,0,0,0,2015,5,11,20,80.0,0.0,0,1,0,0,0,1,0
91430,91430,1,7,0,0,0,0,1270.0,1,0,0,0,2015,5,10,19,80.0,0.0,0,1,0,0,0,1,0
92545,92545,1,6,4945,1,0,0,1270.0,1,0,0,0,2015,5,9,19,80.0,0.0,0,1,0,0,0,1,0
93660,93660,1,5,4683,1,1,0,1270.0,1,0,0,0,2015,5,8,19,80.0,0.0,0,1,0,0,0,1,0
94775,94775,1,4,4529,1,1,0,1270.0,1,0,0,0,2015,5,7,19,80.0,0.0,0,1,0,0,0,1,0
95890,95890,1,3,4960,1,1,0,1270.0,1,0,0,0,2015,5,6,19,80.0,0.0,0,1,0,0,0,1,0
97005,97005,1,2,4564,1,1,0,1270.0,1,0,0,0,2015,5,5,19,80.0,0.0,0,1,0,0,0,1,0
98120,98120,1,1,5591,1,1,0,1270.0,1,0,0,0,2015,5,4,19,80.0,0.0,0,1,0,0,0,1,0
99235,99235,1,7,0,0,0,0,1270.0,1,0,0,0,2015,5,3,18,80.0,0.0,0,1,0,0,0,1,0
100350,100350,1,6,5850,1,0,0,1270.0,1,0,0,0,2015,5,2,18,80.0,0.0,0,1,0,0,0,1,0
101465,101465,1,5,0,0,1,0,1270.0,0,1,0,0,2015,5,1,18,80.0,0.0,0,1,0,0,0,1,0
102580,102580,1,4,6228,1,1,0,1270.0,1,0,0,0,2015,4,30,18,79.0,0.0,0,1,0,0,0,1,0
103695,103695,1,3,5775,1,1,0,1270.0,1,0,0,0,2015,4,29,18,79.0,0.0,0,1,0,0,0,1,0
104810,104810,1,2,5199,1,1,0,1270.0,1,0,0,0,2015,4,28,18,79.0,0.0,0,1,0,0,0,1,0
105925,105925,1,1,5575,1,1,0,1270.0,1,0,0,0,2015,4,27,18,79.0,0.0,0,1,0,0,0,1,0
107040,107040,1,7,0,0,0,0,1270.0,1,0,0,0,2015,4,26,17,79.0,0.0,0,1,0,0,0,1,0
108155,108155,1,6,4318,1,0,0,1270.0,1,0,0,0,2015,4,25,17,79.0,0.0,0,1,0,0,0,1,0
109270,109270,1,5,3198,1,0,0,1270.0,1,0,0,0,2015,4,24,17,79.0,0.0,0,1,0,0,0,1,0
110385,110385,1,4,3076,1,0,0,1270.0,1,0,0,0,2015,4,23,17,79.0,0.0,0,1,0,0,0,1,0
111500,111500,1,3,3319,1,0,0,1270.0,1,0,0,0,2015,4,22,17,79.0,0.0,0,1,0,0,0,1,0
112615,112615,1,2,3037,1,0,0,1270.0,1,0,0,0,2015,4,21,17,79.0,0.0,0,1,0,0,0,1,0
113730,113730,1,1,3722,1,0,0,1270.0,1,0,0,0,2015,4,20,17,79.0,0.0,0,1,0,0,0,1,0
114845,114845,1,7,0,0,0,0,1270.0,1,0,0,0,2015,4,19,16,79.0,0.0,0,1,0,0,0,1,0
115960,115960,1,6,4594,1,0,0,1270.0,1,0,0,0,2015,4,18,16,79.0,0.0,0,1,0,0,0,1,0
117075,117075,1,5,4718,1,1,0,1270.0,1,0,0,0,2015,4,17,16,79.0,0.0,0,1,0,0,0,1,0
118190,118190,1,4,4116,1,1,0,1270.0,1,0,0,0,2015,4,16,16,79.0,0.0,0,1,0,0,0,1,0
119305,119305,1,3,4110,1,1,0,1270.0,1,0,0,0,2015,4,15,16,79.0,0.0,0,1,0,0,0,1,0
120420,120420,1,2,4648,1,1,0,1270.0,1,0,0,0,2015,4,14,16,79.0,0.0,0,1,0,0,0,1,0
121535,121535,1,1,5377,1,1,0,1270.0,1,0,0,0,2015,4,13,16,79.0,0.0,0,1,0,0,0,1,0
122650,122650,1,7,0,0,0,0,1270.0,1,0,0,0,2015,4,12,15,79.0,0.0,0,1,0,0,0,1,0
123765,123765,1,6,4173,1,0,0,1270.0,1,0,0,0,2015,4,11,15,79.0,0.0,0,1,0,0,0,1,0
124880,124880,1,5,3549,1,0,1,1270.0,1,0,0,0,2015,4,10,15,79.0,0.0,0,1,0,0,0,1,0
125995,125995,1,4,3467,1,0,1,1270.0,1,0,0,0,2015,4,9,15,79.0,0.0,0,1,0,0,0,1,0
127110,127110,1,3,4194,1,0,1,1270.0,1,0,0,0,2015,4,8,15,79.0,0.0,0,1,0,0,0,1,0
128225,128225,1,2,4163,1,0,1,1270.0,1,0,0,0,2015,4,7,15,79.0,0.0,0,1,0,0,0,1,0
129340,129340,1,1,0,0,0,1,1270.0,0,0,1,0,2015,4,6,15,79.0,0.0,0,1,0,0,0,1,0
130455,130455,1,7,0,0,0,1,1270.0,1,0,0,0,2015,4,5,14,79.0,0.0,0,1,0,0,0,1,0
131570,131570,1,6,6709,1,0,1,1270.0,1,0,0,0,2015,4,4,14,79.0,0.0,0,1,0,0,0,1,0
132685,132685,1,5,0,0,1,1,1270.0,0,0,1,0,2015,4,3,14,79.0,0.0,0,1,0,0,0,1,0
133800,133800,1,4,6574,1,1,1,1270.0,1,0,0,0,2015,4,2,14,79.0,0.0,0,1,0,0,0,1,0
134915,134915,1,3,6816,1,1,1,1270.0,1,0,0,0,2015,4,1,14,79.0,0.0,0,1,0,0,0,1,0
136030,136030,1,2,6206,1,1,1,1270.0,1,0,0,0,2015,3,31,14,78.0,0.0,0,1,0,0,0,1,0
137145,137145,1,1,6714,1,1,1,1270.0,1,0,0,0,2015,3,30,14,78.0,0.0,0,1,0,0,0,1,0
138260,138260,1,7,0,0,0,0,1270.0,1,0,0,0,2015,3,29,13,78.0,0.0,0,1,0,0,0,1,0
139375,139375,1,6,5208,1,0,0,1270.0,1,0,0,0,2015,3,28,13,78.0,0.0,0,1,0,0,0,1,0
140490,140490,1,5,4005,1,0,0,1270.0,1,0,0,0,2015,3,27,13,78.0,0.0,0,1,0,0,0,1,0
141605,141605,1,4,3932,1,0,0,1270.0,1,0,0,0,2015,3,26,13,78.0,0.0,0,1,0,0,0,1,0
142720,142720,1,3,3531,1,0,0,1270.0,1,0,0,0,2015,3,25,13,78.0,0.0,0,1,0,0,0,1,0
143835,143835,1,2,3547,1,0,0,1270.0,1,0,0,0,2015,3,24,13,78.0,0.0,0,1,0,0,0,1,0
144950,144950,1,1,3565,1,0,0,1270.0,1,0,0,0,2015,3,23,13,78.0,0.0,0,1,0,0,0,1,0
146065,146065,1,7,0,0,0,0,1270.0,1,0,0,0,2015,3,22,12,78.0,0.0,0,1,0,0,0,1,0
147180,147180,1,6,3909,1,0,0,1270.0,1,0,0,0,2015,3,21,12,78.0,0.0,0,1,0,0,0,1,0
148295,148295,1,5,4057,1,1,0,1270.0,1,0,0,0,2015,3,20,12,78.0,0.0,0,1,0,0,0,1,0
149410,149410,1,4,4748,1,1,0,1270.0,1,0,0,0,2015,3,19,12,78.0,0.0,0,1,0,0,0,1,0
150525,150525,1,3,3858,1,1,0,1270.0,1,0,0,0,2015,3,18,12,78.0,0.0,0,1,0,0,0,1,0
151640,151640,1,2,4806,1,1,0,1270.0,1,0,0,0,2015,3,17,12,78.0,0.0,0,1,0,0,0,1,0
152755,152755,1,1,5695,1,1,0,1270.0,1,0,0,0,2015,3,16,12,78.0,0.0,0,1,0,0,0,1,0
153870,153870,1,7,0,0,0,0,1270.0,1,0,0,0,2015,3,15,11,78.0,0.0,0,1,0,0,0,1,0
154985,154985,1,6,5225,1,0,0,1270.0,1,0,0,0,2015,3,14,11,78.0,0.0,0,1,0,0,0,1,0
156100,156100,1,5,3725,1,0,0,1270.0,1,0,0,0,2015,3,13,11,78.0,0.0,0,1,0,0,0,1,0
157215,157215,1,4,3141,1,0,0,1270.0,1,0,0,0,2015,3,12,11,78.0,0.0,0,1,0,0,0,1,0
158330,158330,1,3,4170,1,0,0,1270.0,1,0,0,0,2015,3,11,11,78.0,0.0,0,1,0,0,0,1,0
159445,159445,1,2,3805,1,0,0,1270.0,1,0,0,0,2015,3,10,11,78.0,0.0,0,1,0,0,0,1,0
160560,160560,1,1,3701,1,0,0,1270.0,1,0,0,0,2015,3,9,11,78.0,0.0,0,1,0,0,0,1,0
161675,161675,1,7,0,0,0,0,1270.0,1,0,0,0,2015,3,8,10,78.0,0.0,0,1,0,0,0,1,0
162790,162790,1,6,4592,1,0,0,1270.0,1,0,0,0,2015,3,7,10,78.0,0.0,0,1,0,0,0,1,0
163905,163905,1,5,5397,1,1,0,1270.0,0,0,0,0,2015,3,6,10,78.0,0.0,0,1,0,0,0,1,0
165020,165020,1,4,4419,1,1,0,1270.0,0,0,0,0,2015,3,5,10,78.0,0.0,0,1,0,0,0,1,0
166135,166135,1,3,5568,1,1,0,1270.0,0,0,0,0,2015,3,4,10,78.0,0.0,0,1,0,0,0,1,0
167250,167250,1,2,5451,1,1,0,1270.0,0,0,0,0,2015,3,3,10,78.0,0.0,0,1,0,0,0,1,0
168365,168365,1,1,5942,1,1,0,1270.0,0,0,0,0,2015,3,2,10,78.0,0.0,0,1,0,0,0,1,0
169480,169480,1,7,0,0,0,0,1270.0,0,0,0,0,2015,3,1,9,78.0,0.0,0,1,0,0,0,1,0
170595,170595,1,6,5289,1,0,0,1270.0,0,0,0,0,2015,2,28,9,77.0,0.0,0,1,0,0,0,1,0
171710,171710,1,5,4708,1,0,0,1270.0,0,0,0,0,2015,2,27,9,77.0,0.0,0,1,0,0,0,1,0
172825,172825,1,4,4042,1,0,0,1270.0,0,0,0,0,2015,2,26,9,77.0,0.0,0,1,0,0,0,1,0
173940,173940,1,3,3875,1,0,0,1270.0,0,0,0,0,2015,2,25,9,77.0,0.0,0,1,0,0,0,1,0
175055,175055,1,2,4054,1,0,0,1270.0,0,0,0,0,2015,2,24,9,77.0,0.0,0,1,0,0,0,1,0
176170,176170,1,1,3598,1,0,0,1270.0,0,0,0,0,2015,2,23,9,77.0,0.0,0,1,0,0,0,1,0
177285,177285,1,7,0,0,0,0,1270.0,0,0,0,0,2015,2,22,8,77.0,0.0,0,1,0,0,0,1,0
178400,178400,1,6,4475,1,0,0,1270.0,0,0,0,0,2015,2,21,8,77.0,0.0,0,1,0,0,0,1,0
179515,179515,1,5,4651,1,1,0,1270.0,0,0,0,0,2015,2,20,8,77.0,0.0,0,1,0,0,0,1,0
180630,180630,1,4,4460,1,1,0,1270.0,0,0,0,0,2015,2,19,8,77.0,0.0,0,1,0,0,0,1,0
181745,181745,1,3,4180,1,1,0,1270.0,0,0,0,0,2015,2,18,8,77.0,0.0,0,1,0,0,0,1,0
182860,182860,1,2,4833,1,1,0,1270.0,0,0,0,0,2015,2,17,8,77.0,0.0,0,1,0,0,0,1,0
183975,183975,1,1,4303,1,1,0,1270.0,0,0,0,0,2015,2,16,8,77.0,0.0,0,1,0,0,0,1,0
185090,185090,1,7,0,0,0,0,1270.0,0,0,0,0,2015,2,15,7,77.0,0.0,0,1,0,0,0,1,0
186205,186205,1,6,5015,1,0,0,1270.0,0,0,0,0,2015,2,14,7,77.0,0.0,0,1,0,0,0,1,0
187320,187320,1,5,4726,1,0,0,1270.0,0,0,0,0,2015,2,13,7,77.0,0.0,0,1,0,0,0,1,0
188435,188435,1,4,3900,1,0,0,1270.0,0,0,0,0,2015,2,12,7,77.0,0.0,0,1,0,0,0,1,0
189550,189550,1,3,3735,1,0,0,1270.0,0,0,0,0,2015,2,11,7,77.0,0.0,0,1,0,0,0,1,0
190665,190665,1,2,3136,1,0,0,1270.0,0,0,0,0,2015,2,10,7,77.0,0.0,0,1,0,0,0,1,0
191780,191780,1,1,3965,1,0,0,1270.0,0,0,0,0,2015,2,9,7,77.0,0.0,0,1,0,0,0,1,0
192895,192895,1,7,0,0,0,0,1270.0,0,0,0,0,2015,2,8,6,77.0,0.0,0,1,0,0,0,1,0
194010,194010,1,6,4663,1,0,0,1270.0,0,0,0,0,2015,2,7,6,77.0,0.0,0,1,0,0,0,1,0
195125,195125,1,5,5022,1,1,0,1270.0,0,0,0,0,2015,2,6,6,77.0,0.0,0,1,0,0,0,1,0
196240,196240,1,4,4394,1,1,0,1270.0,0,0,0,0,2015,2,5,6,77.0,0.0,0,1,0,0,0,1,0
197355,197355,1,3,4672,1,1,0,1270.0,0,0,0,0,2015,2,4,6,77.0,0.0,0,1,0,0,0,1,0
198470,198470,1,2,4901,1,1,0,1270.0,0,0,0,0,2015,2,3,6,77.0,0.0,0,1,0,0,0,1,0
199585,199585,1,1,6038,1,1,0,1270.0,0,0,0,0,2015,2,2,6,77.0,0.0,0,1,0,0,0,1,0
200700,200700,1,7,0,0,0,0,1270.0,0,0,0,0,2015,2,1,5,77.0,0.0,0,1,0,0,0,1,0
201815,201815,1,6,5363,1,0,0,1270.0,0,0,0,0,2015,1,31,5,76.0,0.0,0,1,0,0,0,1,0
202930,202930,1,5,5577,1,1,0,1270.0,0,0,0,0,2015,1,30,5,76.0,0.0,0,1,0,0,0,1,0
204045,204045,1,4,5171,1,1,0,1270.0,0,0,0,0,2015,1,29,5,76.0,0.0,0,1,0,0,0,1,0
205160,205160,1,3,4310,1,1,0,1270.0,0,0,0,0,2015,1,28,5,76.0,0.0,0,1,0,0,0,1,0
206275,206275,1,2,4806,1,1,0,1270.0,0,0,0,0,2015,1,27,5,76.0,0.0,0,1,0,0,0,1,0
207390,207390,1,1,4781,1,1,0,1270.0,0,0,0,0,2015,1,26,5,76.0,0.0,0,1,0,0,0,1,0
208505,208505,1,7,0,0,0,0,1270.0,0,0,0,0,2015,1,25,4,76.0,0.0,0,1,0,0,0,1,0
209620,209620,1,6,4840,1,0,0,1270.0,0,0,0,0,2015,1,24,4,76.0,0.0,0,1,0,0,0,1,0
210735,210735,1,5,3586,1,0,0,1270.0,0,0,0,0,2015,1,23,4,76.0,0.0,0,1,0,0,0,1,0
211850,211850,1,4,3492,1,0,0,1270.0,0,0,0,0,2015,1,22,4,76.0,0.0,0,1,0,0,0,1,0
212965,212965,1,3,3299,1,0,0,1270.0,0,0,0,0,2015,1,21,4,76.0,0.0,0,1,0,0,0,1,0
214080,214080,1,2,3680,1,0,0,1270.0,0,0,0,0,2015,1,20,4,76.0,0.0,0,1,0,0,0,1,0
215195,215195,1,1,3721,1,0,0,1270.0,0,0,0,0,2015,1,19,4,76.0,0.0,0,1,0,0,0,1,0
216310,216310,1,7,0,0,0,0,1270.0,0,0,0,0,2015,1,18,3,76.0,0.0,0,1,0,0,0,1,0
217425,217425,1,6,5255,1,0,0,1270.0,0,0,0,0,2015,1,17,3,76.0,0.0,0,1,0,0,0,1,0
218540,218540,1,5,4161,1,1,0,1270.0,0,0,0,0,2015,1,16,3,76.0,0.0,0,1,0,0,0,1,0
219655,219655,1,4,4295,1,1,0,1270.0,0,0,0,0,2015,1,15,3,76.0,0.0,0,1,0,0,0,1,0
220770,220770,1,3,4541,1,1,0,1270.0,0,0,0,0,2015,1,14,3,76.0,0.0,0,1,0,0,0,1,0
221885,221885,1,2,4924,1,1,0,1270.0,0,0,0,0,2015,1,13,3,76.0,0.0,0,1,0,0,0,1,0
223000,223000,1,1,5346,1,1,0,1270.0,0,0,0,0,2015,1,12,3,76.0,0.0,0,1,0,0,0,1,0
224115,224115,1,7,0,0,0,0,1270.0,0,0,0,0,2015,1,11,2,76.0,0.0,0,1,0,0,0,1,0
225230,225230,1,6,4599,1,0,0,1270.0,0,0,0,0,2015,1,10,2,76.0,0.0,0,1,0,0,0,1,0
226345,226345,1,5,3998,1,1,1,1270.0,0,0,0,0,2015,1,9,2,76.0,0.0,0,1,0,0,0,1,0
227460,227460,1,4,3716,1,1,1,1270.0,0,0,0,0,2015,1,8,2,76.0,0.0,0,1,0,0,0,1,0
228575,228575,1,3,4796,1,1,1,1270.0,0,0,0,0,2015,1,7,2,76.0,0.0,0,1,0,0,0,1,0
229690,229690,1,2,4574,1,1,1,1270.0,1,0,0,0,2015,1,6,2,76.0,0.0,0,1,0,0,0,1,0
230805,230805,1,1,6239,1,1,1,1270.0,1,0,0,0,2015,1,5,2,76.0,0.0,0,1,0,0,0,1,0
231920,231920,1,7,0,0,0,1,1270.0,1,0,0,0,2015,1,4,1,76.0,0.0,0,1,0,0,0,1,0
233035,233035,1,6,5023,1,0,1,1270.0,1,0,0,0,2015,1,3,1,76.0,0.0,0,1,0,0,0,1,0
234150,234150,1,5,5509,1,0,1,1270.0,1,0,0,0,2015,1,2,1,76.0,0.0,0,1,0,0,0,1,0
235265,235265,1,4,0,0,0,1,1270.0,0,1,0,0,2015,1,1,1,76.0,0.0,0,1,0,0,0,1,0
236380,236380,1,3,2605,1,0,1,1270.0,1,0,0,0,2014,12,31,1,75.0,0.0,0,1,0,0,0,1,0
237315,237315,1,2,6466,1,0,1,1270.0,1,0,0,0,2014,12,30,1,75.0,0.0,0,1,0,0,0,1,0
238250,238250,1,1,6463,1,0,1,1270.0,1,0,0,0,2014,12,29,1,75.0,0.0,0,1,0,0,0,1,0
239185,239185,1,7,0,0,0,1,1270.0,1,0,0,0,2014,12,28,52,75.0,0.0,0,1,0,0,0,1,0
240120,240120,1,6,6057,1,0,1,1270.0,1,0,0,0,2014,12,27,52,75.0,0.0,0,1,0,0,0,1,0
241055,241055,1,5,0,0,0,1,1270.0,0,0,0,1,2014,12,26,52,75.0,0.0,0,1,0,0,0,1,0
