,Unnamed: 0,Store,DayOfWeek,Sales,Open,Promo,SchoolHoliday,CompetitionDistance,0 holiday,a holiday,b holiday,c holiday,Year,Month,Day,WeekOfYear,CompetitionOpenTime,Promo2Open,IsPromo2Month,a ass,b ass,c ass,type a,type c,type d
79167,79167,3,4,7682,1,1,0,14130.0,1,0,0,0,2015,5,21,21,101.0,49.63333333333333,0,1,0,0,1,0,0
80282,80282,3,3,8226,1,1,0,14130.0,1,0,0,0,2015,5,20,21,101.0,49.63333333333333,0,1,0,0,1,0,0
81397,81397,3,2,8728,1,1,0,14130.0,1,0,0,0,2015,5,19,21,101.0,49.63333333333333,0,1,0,0,1,0,0
82512,82512,3,1,10040,1,1,0,14130.0,1,0,0,0,2015,5,18,21,101.0,49.63333333333333,0,1,0,0,1,0,0
83627,83627,3,7,0,0,0,0,14130.0,1,0,0,0,2015,5,17,20,101.0,49.4,0,1,0,0,1,0,0
84742,84742,3,6,4149,1,0,0,14130.0,1,0,0,0,2015,5,16,20,101.0,49.4,0,1,0,0,1,0,0
85857,85857,3,5,7515,1,0,0,14130.0,1,0,0,0,2015,5,15,20,101.0,49.4,0,1,0,0,1,0,0
86972,86972,3,4,0,0,0,0,14130.0,0,1,0,0,2015,5,14,20,101.0,49.4,0,1,0,0,1,0,0
88087,88087,3,3,7003,1,0,0,14130.0,1,0,0,0,2015,5,13,20,101.0,49.4,0,1,0,0,1,0,0
89202,89202,3,2,6043,1,0,0,14130.0,1,0,0,0,2015,5,12,20,101.0,49.4,0,1,0,0,1,0,0
90317,90317,3,1,5797,1,0,0,14130.0,1,0,0,0,2015,5,11,20,101.0,49.4,0,1,0,0,1,0,0
91432,91432,3,7,0,0,0,0,14130.0,1,0,0,0,2015,5,10,19,101.0,49.16666666666666,0,1,0,0,1,0,0
92547,92547,3,6,6024,1,0,0,14130.0,1,0,0,0,2015,5,9,19,101.0,49.16666666666666,0,1,0,0,1,0,0
93662,93662,3,5,9083,1,1,0,14130.0,1,0,0,0,2015,5,8,19,101.0,49.16666666666666,0,1,0,0,1,0,0
94777,94777,3,4,7705,1,1,0,14130.0,1,0,0,0,2015,5,7,19,101.0,49.16666666666666,0,1,0,0,1,0,0
95892,95892,3,3,9046,1,1,0,14130.0,1,0,0,0,2015,5,6,19,101.0,49.16666666666666,0,1,0,0,1,0,0
97007,97007,3,2,8719,1,1,0,14130.0,1,0,0,0,2015,5,5,19,101.0,49.16666666666666,0,1,0,0,1,0,0
98122,98122,3,1,9488,1,1,0,14130.0,1,0,0,0,2015,5,4,19,101.0,49.16666666666666,0,1,0,0,1,0,0
99237,99237,3,7,0,0,0,0,14130.0,1,0,0,0,2015,5,3,18,101.0,48.93333333333333,0,1,0,0,1,0,0
100352,100352,3,6,6564,1,0,0,14130.0,1,0,0,0,2015,5,2,18,101.0,48.93333333333333,0,1,0,0,1,0,0
101467,101467,3,5,0,0,1,0,14130.0,0,1,0,0,2015,5,1,18,101.0,48.93333333333333,0,1,0,0,1,0,0
102582,102582,3,4,9971,1,1,0,14130.0,1,0,0,0,2015,4,30,18,100.0,48.93333333333333,1,1,0,0,1,0,0
103697,103697,3,3,9484,1,1,0,14130.0,1,0,0,0,2015,4,29,18,100.0,48.93333333333333,1,1,0,0,1,0,0
104812,104812,3,2,8758,1,1,0,14130.0,1,0,0,0,2015,4,28,18,100.0,48.93333333333333,1,1,0,0,1,0,0
105927,105927,3,1,9447,1,1,0,14130.0,1,0,0,0,2015,4,27,18,100.0,48.93333333333333,1,1,0,0,1,0,0
107042,107042,3,7,0,0,0,0,14130.0,1,0,0,0,2015,4,26,17,100.0,48.7,1,1,0,0,1,0,0
108157,108157,3,6,4373,1,0,0,14130.0,1,0,0,0,2015,4,25,17,100.0,48.7,1,1,0,0,1,0,0
109272,109272,3,5,5376,1,0,0,14130.0,1,0,0,0,2015,4,24,17,100.0,48.7,1,1,0,0,1,0,0
110387,110387,3,4,5570,1,0,0,14130.0,1,0,0,0,2015,4,23,17,100.0,48.7,1,1,0,0,1,0,0
111502,111502,3,3,5875,1,0,0,14130.0,1,0,0,0,2015,4,22,17,100.0,48.7,1,1,0,0,1,0,0
112617,112617,3,2,5756,1,0,0,14130.0,1,0,0,0,2015,4,21,17,100.0,48.7,1,1,0,0,1,0,0
113732,113732,3,1,5238,1,0,0,14130.0,1,0,0,0,2015,4,20,17,100.0,48.7,1,1,0,0,1,0,0
114847,114847,3,7,0,0,0,0,14130.0,1,0,0,0,2015,4,19,16,100.0,48.46666666666667,1,1,0,0,1,0,0
115962,115962,3,6,3772,1,0,0,14130.0,1,0,0,0,2015,4,18,16,100.0,48.46666666666667,1,1,0,0,1,0,0
117077,117077,3,5,7735,1,1,0,14130.0,1,0,0,0,2015,4,17,16,100.0,48.46666666666667,1,1,0,0,1,0,0
118192,118192,3,4,8336,1,1,0,14130.0,1,0,0,0,2015,4,16,16,100.0,48.46666666666667,1,1,0,0,1,0,0
119307,119307,3,3,8651,1,1,0,14130.0,1,0,0,0,2015,4,15,16,100.0,48.46666666666667,1,1,0,0,1,0,0
120422,120422,3,2,9274,1,1,0,14130.0,1,0,0,0,2015,4,14,16,100.0,48.46666666666667,1,1,0,0,1,0,0
121537,121537,3,1,9563,1,1,0,14130.0,1,0,0,0,2015,4,13,16,100.0,48.46666666666667,1,1,0,0,1,0,0
122652,122652,3,7,0,0,0,0,14130.0,1,0,0,0,2015,4,12,15,100.0,48.23333333333333,1,1,0,0,1,0,0
123767,123767,3,6,4008,1,0,0,14130.0,1,0,0,0,2015,4,11,15,100.0,48.23333333333333,1,1,0,0,1,0,0
124882,124882,3,5,6343,1,0,1,14130.0,1,0,0,0,2015,4,10,15,100.0,48.23333333333333,1,1,0,0,1,0,0
125997,125997,3,4,6185,1,0,1,14130.0,1,0,0,0,2015,4,9,15,100.0,48.23333333333333,1,1,0,0,1,0,0
127112,127112,3,3,6253,1,0,1,14130.0,1,0,0,0,2015,4,8,15,100.0,48.23333333333333,1,1,0,0,1,0,0
128227,128227,3,2,6830,1,0,1,14130.0,1,0,0,0,2015,4,7,15,100.0,48.23333333333333,1,1,0,0,1,0,0
129342,129342,3,1,0,0,0,1,14130.0,0,0,1,0,2015,4,6,15,100.0,48.23333333333333,1,1,0,0,1,0,0
130457,130457,3,7,0,0,0,0,14130.0,1,0,0,0,2015,4,5,14,100.0,48.0,1,1,0,0,1,0,0
131572,131572,3,6,7123,1,0,0,14130.0,1,0,0,0,2015,4,4,14,100.0,48.0,1,1,0,0,1,0,0
132687,132687,3,5,0,0,1,1,14130.0,0,0,1,0,2015,4,3,14,100.0,48.0,1,1,0,0,1,0,0
133802,133802,3,4,8716,1,1,1,14130.0,1,0,0,0,2015,4,2,14,100.0,48.0,1,1,0,0,1,0,0
134917,134917,3,3,8546,1,1,1,14130.0,1,0,0,0,2015,4,1,14,100.0,48.0,1,1,0,0,1,0,0
136032,136032,3,2,11299,1,1,1,14130.0,1,0,0,0,2015,3,31,14,99.0,48.0,0,1,0,0,1,0,0
137147,137147,3,1,11282,1,1,1,14130.0,1,0,0,0,2015,3,30,14,99.0,48.0,0,1,0,0,1,0,0
138262,138262,3,7,0,0,0,0,14130.0,1,0,0,0,2015,3,29,13,99.0,47.766666666666666,0,1,0,0,1,0,0
139377,139377,3,6,4247,1,0,0,14130.0,1,0,0,0,2015,3,28,13,99.0,47.766666666666666,0,1,0,0,1,0,0
140492,140492,3,5,5216,1,0,0,14130.0,1,0,0,0,2015,3,27,13,99.0,47.766666666666666,0,1,0,0,1,0,0
141607,141607,3,4,6105,1,0,0,14130.0,1,0,0,0,2015,3,26,13,99.0,47.766666666666666,0,1,0,0,1,0,0
142722,142722,3,3,5538,1,0,0,14130.0,1,0,0,0,2015,3,25,13,99.0,47.766666666666666,0,1,0,0,1,0,0
143837,143837,3,2,5256,1,0,0,14130.0,1,0,0,0,2015,3,24,13,99.0,47.766666666666666,0,1,0,0,1,0,0
144952,144952,3,1,5400,1,0,0,14130.0,1,0,0,0,2015,3,23,13,99.0,47.766666666666666,0,1,0,0,1,0,0
146067,146067,3,7,0,0,0,0,14130.0,1,0,0,0,2015,3,22,12,99.0,47.53333333333333,0,1,0,0,1,0,0
147182,147182,3,6,3494,1,0,0,14130.0,1,0,0,0,2015,3,21,12,99.0,47.53333333333333,0,1,0,0,1,0,0
148297,148297,3,5,6971,1,1,0,14130.0,1,0,0,0,2015,3,20,12,99.0,47.53333333333333,0,1,0,0,1,0,0
149412,149412,3,4,6947,1,1,0,14130.0,1,0,0,0,2015,3,19,12,99.0,47.53333333333333,0,1,0,0,1,0,0
150527,150527,3,3,8626,1,1,0,14130.0,1,0,0,0,2015,3,18,12,99.0,47.53333333333333,0,1,0,0,1,0,0
151642,151642,3,2,8154,1,1,0,14130.0,1,0,0,0,2015,3,17,12,99.0,47.53333333333333,0,1,0,0,1,0,0
152757,152757,3,1,8998,1,1,0,14130.0,1,0,0,0,2015,3,16,12,99.0,47.53333333333333,0,1,0,0,1,0,0
153872,153872,3,7,0,0,0,0,14130.0,1,0,0,0,2015,3,15,11,99.0,47.3,0,1,0,0,1,0,0
154987,154987,3,6,4189,1,0,0,14130.0,1,0,0,0,2015,3,14,11,99.0,47.3,0,1,0,0,1,0,0
156102,156102,3,5,5831,1,0,0,14130.0,1,0,0,0,2015,3,13,11,99.0,47.3,0,1,0,0,1,0,0
157217,157217,3,4,5725,1,0,0,14130.0,1,0,0,0,2015,3,12,11,99.0,47.3,0,1,0,0,1,0,0
158332,158332,3,3,5302,1,0,0,14130.0,1,0,0,0,2015,3,11,11,99.0,47.3,0,1,0,0,1,0,0
159447,159447,3,2,5223,1,0,0,14130.0,1,0,0,0,2015,3,10,11,99.0,47.3,0,1,0,0,1,0,0
160562,160562,3,1,5430,1,0,0,14130.0,1,0,0,0,2015,3,9,11,99.0,47.3,0,1,0,0,1,0,0
161677,161677,3,7,0,0,0,0,14130.0,1,0,0,0,2015,3,8,10,99.0,47.06666666666667,0,1,0,0,1,0,0
162792,162792,3,6,4525,1,0,0,14130.0,1,0,0,0,2015,3,7,10,99.0,47.06666666666667,0,1,0,0,1,0,0
163907,163907,3,5,8057,1,1,0,14130.0,0,0,0,0,2015,3,6,10,99.0,47.06666666666667,0,1,0,0,1,0,0
165022,165022,3,4,7784,1,1,0,14130.0,0,0,0,0,2015,3,5,10,99.0,47.06666666666667,0,1,0,0,1,0,0
166137,166137,3,3,7651,1,1,0,14130.0,0,0,0,0,2015,3,4,10,99.0,47.06666666666667,0,1,0,0,1,0,0
167252,167252,3,2,8615,1,1,0,14130.0,0,0,0,0,2015,3,3,10,99.0,47.06666666666667,0,1,0,0,1,0,0
168367,168367,3,1,10970,1,1,0,14130.0,0,0,0,0,2015,3,2,10,99.0,47.06666666666667,0,1,0,0,1,0,0
169482,169482,3,7,0,0,0,0,14130.0,0,0,0,0,2015,3,1,9,99.0,46.833333333333336,0,1,0,0,1,0,0
170597,170597,3,6,4574,1,0,0,14130.0,0,0,0,0,2015,2,28,9,98.0,46.833333333333336,0,1,0,0,1,0,0
171712,171712,3,5,5640,1,0,0,14130.0,0,0,0,0,2015,2,27,9,98.0,46.833333333333336,0,1,0,0,1,0,0
172827,172827,3,4,5978,1,0,0,14130.0,0,0,0,0,2015,2,26,9,98.0,46.833333333333336,0,1,0,0,1,0,0
173942,173942,3,3,4650,1,0,0,14130.0,0,0,0,0,2015,2,25,9,98.0,46.833333333333336,0,1,0,0,1,0,0
175057,175057,3,2,4982,1,0,0,14130.0,0,0,0,0,2015,2,24,9,98.0,46.833333333333336,0,1,0,0,1,0,0
176172,176172,3,1,5354,1,0,0,14130.0,0,0,0,0,2015,2,23,9,98.0,46.833333333333336,0,1,0,0,1,0,0
177287,177287,3,7,0,0,0,0,14130.0,0,0,0,0,2015,2,22,8,98.0,46.6,0,1,0,0,1,0,0
178402,178402,3,6,3419,1,0,0,14130.0,0,0,0,0,2015,2,21,8,98.0,46.6,0,1,0,0,1,0,0
179517,179517,3,5,7204,1,1,0,14130.0,0,0,0,0,2015,2,20,8,98.0,46.6,0,1,0,0,1,0,0
180632,180632,3,4,7248,1,1,0,14130.0,0,0,0,0,2015,2,19,8,98.0,46.6,0,1,0,0,1,0,0
181747,181747,3,3,7862,1,1,0,14130.0,0,0,0,0,2015,2,18,8,98.0,46.6,0,1,0,0,1,0,0
182862,182862,3,2,7895,1,1,0,14130.0,0,0,0,0,2015,2,17,8,98.0,46.6,0,1,0,0,1,0,0
183977,183977,3,1,9914,1,1,0,14130.0,0,0,0,0,2015,2,16,8,98.0,46.6,0,1,0,0,1,0,0
185092,185092,3,7,0,0,0,0,14130.0,0,0,0,0,2015,2,15,7,98.0,46.36666666666667,0,1,0,0,1,0,0
186207,186207,3,6,4221,1,0,0,14130.0,0,0,0,0,2015,2,14,7,98.0,46.36666666666667,0,1,0,0,1,0,0
187322,187322,3,5,6018,1,0,0,14130.0,0,0,0,0,2015,2,13,7,98.0,46.36666666666667,0,1,0,0,1,0,0
188437,188437,3,4,5179,1,0,0,14130.0,0,0,0,0,2015,2,12,7,98.0,46.36666666666667,0,1,0,0,1,0,0
189552,189552,3,3,6116,1,0,0,14130.0,0,0,0,0,2015,2,11,7,98.0,46.36666666666667,0,1,0,0,1,0,0
190667,190667,3,2,5333,1,0,0,14130.0,0,0,0,0,2015,2,10,7,98.0,46.36666666666667,0,1,0,0,1,0,0
191782,191782,3,1,5027,1,0,0,14130.0,0,0,0,0,2015,2,9,7,98.0,46.36666666666667,0,1,0,0,1,0,0
192897,192897,3,7,0,0,0,0,14130.0,0,0,0,0,2015,2,8,6,98.0,46.13333333333333,0,1,0,0,1,0,0
194012,194012,3,6,4781,1,0,0,14130.0,0,0,0,0,2015,2,7,6,98.0,46.13333333333333,0,1,0,0,1,0,0
195127,195127,3,5,7920,1,1,0,14130.0,0,0,0,0,2015,2,6,6,98.0,46.13333333333333,0,1,0,0,1,0,0
196242,196242,3,4,7195,1,1,0,14130.0,0,0,0,0,2015,2,5,6,98.0,46.13333333333333,0,1,0,0,1,0,0
197357,197357,3,3,8155,1,1,0,14130.0,0,0,0,0,2015,2,4,6,98.0,46.13333333333333,0,1,0,0,1,0,0
198472,198472,3,2,8950,1,1,0,14130.0,0,0,0,0,2015,2,3,6,98.0,46.13333333333333,0,1,0,0,1,0,0
199587,199587,3,1,9922,1,1,0,14130.0,0,0,0,0,2015,2,2,6,98.0,46.13333333333333,0,1,0,0,1,0,0
200702,200702,3,7,0,0,0,0,14130.0,0,0,0,0,2015,2,1,5,98.0,45.9,0,1,0,0,1,0,0
201817,201817,3,6,4382,1,0,0,14130.0,0,0,0,0,2015,1,31,5,97.0,45.9,1,1,0,0,1,0,0
202932,202932,3,5,6911,1,1,0,14130.0,0,0,0,0,2015,1,30,5,97.0,45.9,1,1,0,0,1,0,0
204047,204047,3,4,7485,1,1,0,14130.0,0,0,0,0,2015,1,29,5,97.0,45.9,1,1,0,0,1,0,0
205162,205162,3,3,6883,1,1,0,14130.0,0,0,0,0,2015,1,28,5,97.0,45.9,1,1,0,0,1,0,0
206277,206277,3,2,8292,1,1,0,14130.0,0,0,0,0,2015,1,27,5,97.0,45.9,1,1,0,0,1,0,0
207392,207392,3,1,8055,1,1,0,14130.0,0,0,0,0,2015,1,26,5,97.0,45.9,1,1,0,0,1,0,0
208507,208507,3,7,0,0,0,0,14130.0,0,0,0,0,2015,1,25,4,97.0,45.66666666666666,1,1,0,0,1,0,0
209622,209622,3,6,3452,1,0,0,14130.0,0,0,0,0,2015,1,24,4,97.0,45.66666666666666,1,1,0,0,1,0,0
210737,210737,3,5,5701,1,0,0,14130.0,0,0,0,0,2015,1,23,4,97.0,45.66666666666666,1,1,0,0,1,0,0
211852,211852,3,4,4677,1,0,0,14130.0,0,0,0,0,2015,1,22,4,97.0,45.66666666666666,1,1,0,0,1,0,0
212967,212967,3,3,5024,1,0,0,14130.0,0,0,0,0,2015,1,21,4,97.0,45.66666666666666,1,1,0,0,1,0,0
214082,214082,3,2,4848,1,0,0,14130.0,0,0,0,0,2015,1,20,4,97.0,45.66666666666666,1,1,0,0,1,0,0
215197,215197,3,1,5420,1,0,0,14130.0,0,0,0,0,2015,1,19,4,97.0,45.66666666666666,1,1,0,0,1,0,0
216312,216312,3,7,0,0,0,0,14130.0,0,0,0,0,2015,1,18,3,97.0,45.43333333333333,1,1,0,0,1,0,0
217427,217427,3,6,4610,1,0,0,14130.0,0,0,0,0,2015,1,17,3,97.0,45.43333333333333,1,1,0,0,1,0,0
218542,218542,3,5,8497,1,1,0,14130.0,0,0,0,0,2015,1,16,3,97.0,45.43333333333333,1,1,0,0,1,0,0
219657,219657,3,4,6578,1,1,0,14130.0,0,0,0,0,2015,1,15,3,97.0,45.43333333333333,1,1,0,0,1,0,0
220772,220772,3,3,7417,1,1,0,14130.0,0,0,0,0,2015,1,14,3,97.0,45.43333333333333,1,1,0,0,1,0,0
221887,221887,3,2,7464,1,1,0,14130.0,0,0,0,0,2015,1,13,3,97.0,45.43333333333333,1,1,0,0,1,0,0
223002,223002,3,1,8209,1,1,0,14130.0,0,0,0,0,2015,1,12,3,97.0,45.43333333333333,1,1,0,0,1,0,0
224117,224117,3,7,0,0,0,0,14130.0,0,0,0,0,2015,1,11,2,97.0,45.2,1,1,0,0,1,0,0
225232,225232,3,6,3373,1,0,0,14130.0,0,0,0,0,2015,1,10,2,97.0,45.2,1,1,0,0,1,0,0
226347,226347,3,5,7719,1,1,0,14130.0,0,0,0,0,2015,1,9,2,97.0,45.2,1,1,0,0,1,0,0
227462,227462,3,4,6300,1,1,0,14130.0,0,0,0,0,2015,1,8,2,97.0,45.2,1,1,0,0,1,0,0
228577,228577,3,3,7253,1,1,0,14130.0,0,0,0,0,2015,1,7,2,97.0,45.2,1,1,0,0,1,0,0
229692,229692,3,2,8739,1,1,1,14130.0,1,0,0,0,2015,1,6,2,97.0,45.2,1,1,0,0,1,0,0
230807,230807,3,1,10684,1,1,1,14130.0,1,0,0,0,2015,1,5,2,97.0,45.2,1,1,0,0,1,0,0
231922,231922,3,7,0,0,0,0,14130.0,1,0,0,0,2015,1,4,1,97.0,44.96666666666667,1,1,0,0,1,0,0
